Acct ID,Symbol,,Trade Date/Time,Settle Date,Exchange,Type,Quantity,Price,Proceeds,Comm,Fee,Code
Stocks,,,,,,,,,,,,
USD,,,,,,,,,,,,
Total PNR (Sold),,,,,,,-49,66.8601,"3,276.14",-1.08,0,
Total PNR,,,,,,,0,,-102.83,-2.08,0,
U2101073,PXH,,"2018-02-07, 15:28:12",2018-02-09,-,BUY,142,23.48,"-3,334.16",-1,0,P
Total PXH (Bought),,,,,,,142,23.48,"-3,334.16",-1,0,
U2101073,PXH,,"2018-02-08, 12:27:18",2018-02-12,-,SELL,-142,22.7,"3,223.40",-1.09,0,P
Total PXH (Sold),,,,,,,-142,22.7,"3,223.40",-1.09,0,
Total PXH,,,,,,,0,,-110.76,-2.09,0,
U2101073,QQQ,,"2018-02-08, 15:59:48",2018-02-12,-,BUY,11,153.69,"-1,690.59",-1,0,
Total QQQ (Bought),,,,,,,11,153.69,"-1,690.59",-1,0,
U2101073,QQQ,,"2018-02-16, 09:35:20",2018-02-21,-,SELL,-11,165.6801,"1,822.48",-1.04,0,
Total QQQ (Sold),,,,,,,-11,165.6801,"1,822.48",-1.04,0,
Total QQQ,,,,,,,0,,131.89,-2.04,0,
U2101073,ROK,,"2018-01-29, 15:56:53",2018-01-31,-,BUY,16,200.23,"-3,203.68",-1,0,
Total ROK (Bought),,,,,,,16,200.23,"-3,203.68",-1,0,
U2101073,ROK,,"2018-02-02, 11:56:36",2018-02-06,-,SELL,-16,194.09,"3,105.44",-1.07,0,
Total ROK (Sold),,,,,,,-16,194.09,"3,105.44",-1.07,0,
Total ROK,,,,,,,0,,-98.24,-2.07,0,
U2101073,ROP,,"2018-03-02, 15:57:18",2018-03-06,-,BUY,12,268.64,"-3,223.68",-1,0,
Total ROP (Bought),,,,,,,12,268.64,"-3,223.68",-1,0,
U2101073,ROP,,"2018-03-07, 14:10:52",2018-03-09,-,SELL,-12,279.35,"3,352.20",-1.08,0,
Total ROP (Sold),,,,,,,-12,279.35,"3,352.20",-1.08,0,
Total ROP,,,,,,,0,,128.52,-2.08,0,
U2101073,RSX,,"2017-12-19, 15:48:02",2017-12-21,-,BUY,80,20.81625,"-1,665.30",-1,0,P
U2101073,RSX,,"2018-02-07, 15:23:45",2018-02-09,-,BUY,149,22.3599,"-3,331.63",-1,0,D
Total RSX (Bought),,,,,,,229,21.8206336,"-4,996.93",-2,0,
U2101073,RSX,,"2017-12-28, 15:51:53",2018-01-02,-,SELL,-80,21.17,"1,693.60",-1.05,0,
U2101073,RSX,,"2018-02-08, 15:51:34",2018-02-12,-,SELL,-149,21.6407383,"3,224.47",-1.09,0,P
Total RSX (Sold),,,,,,,-229,21.4762882,"4,918.07",-2.14,0,
Total RSX,,,,,,,0,,-78.86,-4.14,0,
U2101073,SMH,,"2017-12-05, 15:34:43",2017-12-07,-,BUY,17,97.4,"-1,655.80",-1,0,
Total SMH (Bought),,,,,,,17,97.4,"-1,655.80",-1,0,
U2101073,SMH,,"2017-12-14, 09:43:06",2017-12-18,-,SELL,-12,97.8,"1,173.60",-1.03,0,
U2101073,SMH,,"2017-12-14, 09:47:27",2017-12-18,-,SELL,-5,97.88,489.4,-1.01,0,
Total SMH (Sold),,,,,,,-17,97.8235294,"1,663.00",-2.04,0,
Total SMH,,,,,,,0,,7.2,-3.04,0,
U2101073,SOXX,,"2017-12-06, 16:04:42",2017-12-08,-,BUY,5,167.38,-836.9,-1,0,
Total SOXX (Bought),,,,,,,5,167.38,-836.9,-1,0,
U2101073,SOXX,,"2017-12-14, 10:24:27",2017-12-18,-,SELL,-5,167.87,839.35,-1.02,0,
Total SOXX (Sold),,,,,,,-5,167.87,839.35,-1.02,0,
Total SOXX,,,,,,,0,,2.45,-2.02,0,
U2101073,TLT,,"2017-12-19, 15:49:54",2017-12-21,-,BUY,7,125.5,-878.5,-1,0,
Total TLT (Bought),,,,,,,7,125.5,-878.5,-1,0,
U2101073,TLT,,"2017-12-29, 15:36:13",2018-01-03,-,SELL,-7,126.935,888.54,-1.02,0,
Total TLT (Sold),,,,,,,-7,126.935,888.54,-1.02,0,
Total TLT,,,,,,,0,,10.04,-2.02,0,
U2101073,TRV,,"2018-02-13, 15:14:02",2018-02-15,-,BUY,24,138.61,"-3,326.64",-1,0,
Total TRV (Bought),,,,,,,24,138.61,"-3,326.64",-1,0,
U2101073,TRV,,"2018-02-20, 10:57:53",2018-02-22,-,SELL,-24,138.66,"3,327.84",-1.08,0,
Total TRV (Sold),,,,,,,-24,138.66,"3,327.84",-1.08,0,
Total TRV,,,,,,,0,,1.2,-2.08,0,
U2101073,TXN,,"2018-01-25, 15:31:41",2018-01-29,-,BUY,18,110.45,"-1,988.10",-1,0,
Total TXN (Bought),,,,,,,18,110.45,"-1,988.10",-1,0,
U2101073,TXN,,"2018-02-01, 15:45:25",2018-02-05,-,SELL,-18,109.77,"1,975.86",-1.05,0,
Total TXN (Sold),,,,,,,-18,109.77,"1,975.86",-1.05,0,
Total TXN,,,,,,,0,,-12.24,-2.05,0,
U2101073,UNH,,"2017-12-22, 15:38:21",2017-12-27,-,BUY,7,219.93,"-1,539.51",-1,0,
Total UNH (Bought),,,,,,,7,219.93,"-1,539.51",-1,0,
U2101073,UNH,,"2018-01-04, 10:22:26",2018-01-08,-,SELL,-7,225.65,"1,579.55",-1.04,0,
Total UNH (Sold),,,,,,,-7,225.65,"1,579.55",-1.04,0,
Total UNH,,,,,,,0,,40.04,-2.04,0,
U2101073,V,,"2017-12-05, 15:37:28",2017-12-07,-,BUY,15,108.64,"-1,629.60",-1,0,
Total V (Bought),,,,,,,15,108.64,"-1,629.60",-1,0,
U2101073,V,,"2017-12-08, 08:32:52",2017-12-12,-,SELL,-15,111.99,"1,679.85",-1.04,0,
Total V (Sold),,,,,,,-15,111.99,"1,679.85",-1.04,0,
Total V,,,,,,,0,,50.25,-2.04,0,
U2101073,VEA,,"2017-12-22, 15:35:42",2017-12-27,-,BUY,37,44.56,"-1,648.72",-1,0,
Total VEA (Bought),,,,,,,37,44.56,"-1,648.72",-1,0,
U2101073,VEA,,"2018-01-02, 15:43:09",2018-01-04,-,SELL,-37,45.1907,"1,672.06",-1.04,0,D
Total VEA (Sold),,,,,,,-37,45.1907,"1,672.06",-1.04,0,
Total VEA,,,,,,,0,,23.34,-2.04,0,
U2101073,VFH,,"2018-03-01, 15:57:06",2018-03-05,-,BUY,47,71.12,"-3,342.64",-1,0,
Total VFH (Bought),,,,,,,47,71.12,"-3,342.64",-1,0,
U2101073,VFH,,"2018-03-09, 12:01:03",2018-03-13,-,SELL,-47,73.99,"3,477.53",-1.09,0,
Total VFH (Sold),,,,,,,-47,73.99,"3,477.53",-1.09,0,
Total VFH,,,,,,,0,,134.89,-2.09,0,
U2101073,VRTX,,"2018-02-12, 15:54:46",2018-02-14,-,BUY,13,152.2589,"-1,979.37",-1,0,
Total VRTX (Bought),,,,,,,13,152.2589,"-1,979.37",-1,0,
U2101073,VRTX,,"2018-02-20, 15:43:24",2018-02-22,-,SELL,-13,160.8,"2,090.40",-1.05,0,
Total VRTX (Sold),,,,,,,-13,160.8,"2,090.40",-1.05,0,
Total VRTX,,,,,,,0,,111.03,-2.05,0,
U2101073,WMT,,"2018-02-05, 09:30:00",2018-02-07,-,BUY,31,103.4,"-3,205.40",-1,0,
Total WMT (Bought),,,,,,,31,103.4,"-3,205.40",-1,0,
U2101073,WMT,,"2018-02-05, 15:06:58",2018-02-07,-,SELL,-31,101.445,"3,144.80",-1.08,0,
Total WMT (Sold),,,,,,,-31,101.445,"3,144.80",-1.08,0,
Total WMT,,,,,,,0,,-60.61,-2.08,0,
U2101073,WYNN,,"2018-02-22, 14:40:11",2018-02-26,-,BUY,20,163.98,"-3,279.60",-1,0,
Total WYNN (Bought),,,,,,,20,163.98,"-3,279.60",-1,0,
U2101073,WYNN,,"2018-02-23, 15:58:53",2018-02-27,-,SELL,-20,166.98,"3,339.60",-1.08,0,
Total WYNN (Sold),,,,,,,-20,166.98,"3,339.60",-1.08,0,
Total WYNN,,,,,,,0,,60,-2.08,0,
U2101073,XIV,,"2018-01-26, 15:41:29",2018-01-30,-,BUY,14,137.789,"-1,929.05",-1,0,
Total XIV (Bought),,,,,,,14,137.789,"-1,929.05",-1,0,
U2101073,XIV,,"2018-01-29, 14:40:32",2018-01-31,-,SELL,-14,130.21,"1,822.94",-1.04,0,
Total XIV (Sold),,,,,,,-14,130.21,"1,822.94",-1.04,0,
Total XIV,,,,,,,0,,-106.11,-2.04,0,
U2101073,XLG,,"2018-03-02, 15:57:54",2018-03-06,-,BUY,17,193.01,"-3,281.17",-1,0,
Total XLG (Bought),,,,,,,17,193.01,"-3,281.17",-1,0,
Total,,,,,,,,,"-23,156.32",-191.88,0,
