Acct ID,Symbol,,Trade Date/Time,Settle Date,Exchange,Type,Quantity,Price,Proceeds,Comm,Fee,Code
Stocks,,,,,,,,,,,,
USD,,,,,,,,,,,,
Total COST (Bought),,,,,,,17,187.3186,"-3,184.42",-1,0,
U2101073,CTXS,,"2018-02-06, 15:49:23",2018-02-08,-,BUY,22,89.02,"-1,958.44",-1,0,
Total CTXS (Bought),,,,,,,22,89.02,"-1,958.44",-1,0,
U2101073,CTXS,,"2018-02-08, 15:58:41",2018-02-12,-,SELL,-22,84.79,"1,865.38",-1.05,0,
Total CTXS (Sold),,,,,,,-22,84.79,"1,865.38",-1.05,0,
Total CTXS,,,,,,,0,,-93.06,-2.05,0,
U2101073,CVY,,"2018-02-02, 09:30:00",2018-02-06,-,BUY,145,22.76,"-3,300.20",-1,0,
Total CVY (Bought),,,,,,,145,22.76,"-3,300.20",-1,0,
U2101073,CVY,,"2018-02-05, 09:30:09",2018-02-07,-,SELL,-145,22.11,"3,205.95",-1.09,0,
Total CVY (Sold),,,,,,,-145,22.11,"3,205.95",-1.09,0,
Total CVY,,,,,,,0,,-94.25,-2.09,0,
U2101073,DBB,,"2017-11-29, 11:13:55",2017-12-01,-,BUY,90,18.2089,"-1,638.80",-1,0,
Total DBB (Bought),,,,,,,90,18.2089,"-1,638.80",-1,0,
U2101073,DBB,,"2017-12-06, 09:53:55",2017-12-08,-,SELL,-90,17.8,"1,602.00",-1.05,0,
Total DBB (Sold),,,,,,,-90,17.8,"1,602.00",-1.05,0,
Total DBB,,,,,,,0,,-36.8,-2.05,0,
U2101073,DHI,,"2018-01-29, 15:55:17",2018-01-31,-,BUY,68,48.4289,"-3,293.17",-1,0,
U2101073,DHI,,"2018-02-12, 15:56:25",2018-02-14,-,BUY,73,44.935,"-3,280.26",-1,0,
Total DHI (Bought),,,,,,,141,46.6200014,"-6,573.42",-2,0,
U2101073,DHI,,"2018-01-31, 09:30:13",2018-02-02,-,SELL,-68,50.5,"3,434.00",-1.09,0,
U2101073,DHI,,"2018-02-20, 15:48:57",2018-02-22,-,SELL,-73,45.23,"3,301.79",-1.08,0,
Total DHI (Sold),,,,,,,-141,47.7715603,"6,735.79",-2.17,0,
Total DHI,,,,,,,0,,162.37,-4.17,0,
U2101073,DJP,,"2017-12-01, 09:49:59",2017-12-05,-,BUY,100,23.91,"-2,391.00",-1,0,
Total DJP (Bought),,,,,,,100,23.91,"-2,391.00",-1,0,
U2101073,DJP,,"2017-12-07, 15:46:46",2017-12-11,-,SELL,-100,23.05,"2,305.00",-1.07,0,
Total DJP (Sold),,,,,,,-100,23.05,"2,305.00",-1.07,0,
Total DJP,,,,,,,0,,-86,-2.07,0,
U2101073,DTN,,"2018-03-02, 15:58:04",2018-03-06,-,BUY,39,86.81,"-3,385.59",-1,0,
Total DTN (Bought),,,,,,,39,86.81,"-3,385.59",-1,0,
U2101073,DVY,,"2018-02-02, 09:30:00",2018-02-06,-,BUY,19,99.62,"-1,892.78",-1,0,
Total DVY (Bought),,,,,,,19,99.62,"-1,892.78",-1,0,
U2101073,DVY,,"2018-02-05, 15:09:52",2018-02-07,-,SELL,-19,95.21,"1,808.99",-1.04,0,
Total DVY (Sold),,,,,,,-19,95.21,"1,808.99",-1.04,0,
Total DVY,,,,,,,0,,-83.79,-2.04,0,
U2101073,EEM,,"2017-12-04, 15:53:28",2017-12-06,-,BUY,100,45.9192,"-4,591.92",-1,0,
U2101073,EEM,,"2018-02-02, 09:30:00",2018-02-06,-,BUY,39,49.8,"-1,942.20",-1,0,
Total EEM (Bought),,,,,,,139,47.0080576,"-6,534.12",-2,0,
U2101073,EEM,,"2017-12-07, 15:50:16",2017-12-11,-,SELL,-56,45.381,"2,541.34",-1.07,0,
U2101073,EEM,,"2017-12-13, 15:48:48",2017-12-15,-,SELL,-44,46.451,"2,043.84",-1.05,0,
U2101073,EEM,,"2018-02-05, 15:07:00",2018-02-07,-,SELL,-39,47.945,"1,869.86",-1.05,0,
Total EEM (Sold),,,,,,,-139,46.4391007,"6,455.04",-3.17,0,
Total EEM,,,,,,,0,,-79.09,-5.17,0,
U2101073,EFA,,"2017-12-06, 15:58:26",2017-12-08,-,BUY,14,69.28,-969.92,-1,0,
U2101073,EFA,,"2017-12-20, 15:29:00",2017-12-22,-,BUY,14,69.67,-975.38,-1,0,
Total EFA (Bought),,,,,,,28,69.475,"-1,945.30",-2,0,
U2101073,EFA,,"2017-12-13, 09:48:31",2017-12-15,-,SELL,-14,70.28,983.92,-1.02,0,
